result_id,analysis,language,model,task,layers,cohort_programs,status,provenance,primary_output,validation,production_script,paper_comparability,caveats
ged-go-codebert,graph_edit_distance,go,codebert,AST+AST-no-identifiers+DFG,0-11,3000,complete,multilingual final-3000 run,analysis_results/attention_final_3000/go/similarity_legacy/codebert,analysis_results/ged_final_3000/validation/go/codebert/ged_validation.json,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy GED mode; library version differs from stored Python reference
ged-go-graphcodebert,graph_edit_distance,go,graphcodebert,AST+AST-no-identifiers+DFG,0-11,3000,complete,multilingual final-3000 run,analysis_results/final_3000_multimodel/go/graphcodebert/attention/similarity_legacy/graphcodebert,analysis_results/ged_final_3000/validation/go/graphcodebert/ged_validation.json,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy GED mode; library version differs from stored Python reference
ged-go-codet5,graph_edit_distance,go,codet5,AST+AST-no-identifiers+DFG,0-11,3000,complete,multilingual final-3000 run,analysis_results/final_3000_multimodel/go/codet5/attention/similarity_legacy/codet5,analysis_results/ged_final_3000/validation/go/codet5/ged_validation.json,attention/run_requested_ged_queue.py,paper-compatible legacy GED mode,legacy GED mode; library version differs from stored Python reference
probe-python-codebert-distance,DirectProbe,python,codebert,distance,"5,9,12",3000,complete,original paper repository,DirectProbe/results/distance/codebert,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-codebert-distance_id,DirectProbe,python,codebert,distance_id,"5,9,12",3000,complete,original paper repository,DirectProbe/results/distance_id/codebert,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-codebert-siblings,DirectProbe,python,codebert,siblings,"5,9,12",3000,complete,original paper repository,DirectProbe/results/siblings/codebert,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-codebert-siblings_id,DirectProbe,python,codebert,siblings_id,"5,9,12",3000,complete,original paper repository,DirectProbe/results/siblings_id/codebert,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-codebert-dfg,DirectProbe,python,codebert,dfg,"5,9,12",3000,complete,original paper repository,DirectProbe/results/dfg/codebert,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-graphcodebert-distance,DirectProbe,python,graphcodebert,distance,"5,9,12",3000,complete,original paper repository,DirectProbe/results/distance/graphcodebert,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-graphcodebert-distance_id,DirectProbe,python,graphcodebert,distance_id,"5,9,12",3000,complete,original paper repository,DirectProbe/results/distance_id/graphcodebert,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-graphcodebert-siblings,DirectProbe,python,graphcodebert,siblings,"5,9,12",3000,complete,original paper repository,DirectProbe/results/siblings/graphcodebert,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-graphcodebert-siblings_id,DirectProbe,python,graphcodebert,siblings_id,"5,9,12",3000,complete,original paper repository,DirectProbe/results/siblings_id/graphcodebert,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-graphcodebert-dfg,DirectProbe,python,graphcodebert,dfg,"5,9,12",3000,complete,original paper repository,DirectProbe/results/dfg/graphcodebert,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-codet5-distance,DirectProbe,python,codet5,distance,"5,9,12",3000,complete,original paper repository,DirectProbe/results/distance/codet5,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-codet5-distance_id,DirectProbe,python,codet5,distance_id,"5,9,12",3000,complete,original paper repository,DirectProbe/results/distance_id/codet5,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-codet5-siblings,DirectProbe,python,codet5,siblings,"5,9,12",3000,complete,original paper repository,DirectProbe/results/siblings/codet5,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-codet5-siblings_id,DirectProbe,python,codet5,siblings_id,"5,9,12",3000,complete,original paper repository,DirectProbe/results/siblings_id/codet5,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-python-codet5-dfg,DirectProbe,python,codet5,dfg,"5,9,12",3000,complete,original paper repository,DirectProbe/results/dfg/codet5,,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",original feature matrices are not published; pair-level 80:20 split
probe-java-codebert-distance,DirectProbe,java,codebert,distance,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/distance/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-codebert-distance_id,DirectProbe,java,codebert,distance_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/distance_id/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-codebert-siblings,DirectProbe,java,codebert,siblings,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/siblings/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-codebert-siblings_id,DirectProbe,java,codebert,siblings_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/siblings_id/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-codebert-dfg,DirectProbe,java,codebert,dfg,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/dfg/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-graphcodebert-distance,DirectProbe,java,graphcodebert,distance,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/distance/graphcodebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-graphcodebert-distance_id,DirectProbe,java,graphcodebert,distance_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/distance_id/graphcodebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-graphcodebert-siblings,DirectProbe,java,graphcodebert,siblings,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/siblings/graphcodebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-graphcodebert-siblings_id,DirectProbe,java,graphcodebert,siblings_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/siblings_id/graphcodebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-graphcodebert-dfg,DirectProbe,java,graphcodebert,dfg,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/dfg/graphcodebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-codet5-distance,DirectProbe,java,codet5,distance,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/distance/codet5,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-codet5-distance_id,DirectProbe,java,codet5,distance_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/distance_id/codet5,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-codet5-siblings,DirectProbe,java,codet5,siblings,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/siblings/codet5,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-codet5-siblings_id,DirectProbe,java,codet5,siblings_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/siblings_id/codet5,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-java-codet5-dfg,DirectProbe,java,codet5,dfg,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/java/dfg/codet5,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-codebert-distance,DirectProbe,javascript,codebert,distance,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/distance/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-codebert-distance_id,DirectProbe,javascript,codebert,distance_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/distance_id/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-codebert-siblings,DirectProbe,javascript,codebert,siblings,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/siblings/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-codebert-siblings_id,DirectProbe,javascript,codebert,siblings_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/siblings_id/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-codebert-dfg,DirectProbe,javascript,codebert,dfg,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/dfg/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-graphcodebert-distance,DirectProbe,javascript,graphcodebert,distance,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/distance/graphcodebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-graphcodebert-distance_id,DirectProbe,javascript,graphcodebert,distance_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/distance_id/graphcodebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-graphcodebert-siblings,DirectProbe,javascript,graphcodebert,siblings,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/siblings/graphcodebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-graphcodebert-siblings_id,DirectProbe,javascript,graphcodebert,siblings_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/siblings_id/graphcodebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-graphcodebert-dfg,DirectProbe,javascript,graphcodebert,dfg,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/dfg/graphcodebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-codet5-distance,DirectProbe,javascript,codet5,distance,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/distance/codet5,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-codet5-distance_id,DirectProbe,javascript,codet5,distance_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/distance_id/codet5,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-codet5-siblings,DirectProbe,javascript,codet5,siblings,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/siblings/codet5,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-codet5-siblings_id,DirectProbe,javascript,codet5,siblings_id,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/siblings_id/codet5,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-javascript-codet5-dfg,DirectProbe,javascript,codet5,dfg,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/javascript/dfg/codet5,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
probe-go-codebert-distance,DirectProbe,go,codebert,distance,"5,9,12",3000,complete,multilingual final-3000 run,DirectProbe/final_3000/results/go/distance/codebert,DirectProbe/final_3000/requested_probing_parallel_queue_manifest.json,DirectProbe/run_requested_probe_queue.py,"same tasks, pair construction, and layer convention",pair-level split; source programs overlap between train and test
